name,first_release_date,single_player,multi_player,age_ratings,franchise,game_modes
Terra Nova: Strike Force Centauri,04/03/1996,1,0,null,null,null
Dogou Souken,31/12/1986,null,null,null,null,null
The Firemen 2: Pete & Danny,null,null,null,null,null,null
Baccarat - Best Casino Betting Game,16/10/2013,null,null,null,null,null
Captivus,02/10/2017,0,1,null,null,null
One way to exit,11/03/2016,1,0,null,null,null
Space station - build your own ISS,null,null,null,null,null,null
Transformers Prime: The Game,null,null,null,null,null,null
Lords of Xulima: The Talisman of Golot Edition,null,null,null,null,null,null
Bubble Whirl Shooter,null,null,null,null,null,null
Asian Riddles 4,null,null,null,null,null,null
Racing Live,null,null,null,null,null,null
Transcend,30/11/2017,1,0,null,null,null
Rainbow Reactor,null,1,0,null,null,null
PixelShips,null,null,null,null,null,null
PKTBALL,06/04/2016,null,null,null,null,null
One Piece: Pirate Warriors 4 - Deluxe Edition,27/04/2020,1,1,PEGI-12,null,null
Home Run Nighter '90: The Pennant League,23/08/1990,null,null,null,null,null
Test Drive,30/12/2002,1,0,ESRB-T,null,null
KENDAMVR - Virtual Reality Kendama,18/09/2017,1,0,null,null,null
Lime Ergot,30/10/2014,1,0,null,null,null
Shiki-Tei,null,null,null,null,null,null
Q,null,null,null,null,null,null
Deathmatch Club,null,null,null,null,null,null
Shin Togenkyo,21/09/1995,null,null,null,null,null
Codenames,null,null,null,null,null,null
Flying Arrow!.,null,null,null,ESRB-E,null,null
Christmas Mahjong 2,null,1,0,null,null,null
Railroad Tycoon 2: Platinum Edition,null,null,null,null,null,null
Family Trainer: Extreme Challenge,24/09/2009,null,null,null,null,null
Valiant: Resurrection,07/05/2015,1,0,null,null,null
The Other Half,01/11/2018,1,0,null,null,null
The DOOR,null,null,null,null,null,null
PitterPot,null,null,null,null,null,null
From Orbit,26/08/2019,1,0,null,null,null
Laserbreak: Esacpe,null,null,null,null,null,null
Vs. Castlevania,31/05/1987,null,null,null,null,null
Wubble Bubbles,null,null,null,null,null,null
Exploration Pro,null,1,0,null,null,null
Flashy Maze,null,null,null,null,null,null
SingStar: Frozen,30/12/2015,1,1,null,null,null
Tie Break Tennis,null,null,null,null,null,null
Darts VR,06/08/2017,1,1,null,null,null
The Hacker,null,null,null,null,null,null
Dark Hunter: Shita Youma no Mori,29/05/1997,null,null,null,null,null
Aisleen,null,null,null,null,null,null
Alien: Blackout,23/01/2019,1,0,ESRB-T,null,null
Ariel,10/07/2017,1,0,null,null,null
Motorsport Manager Mobile 3,null,null,null,null,null,null
Pocket Color Mahjong,null,null,null,null,null,null
