Rank,Name,basename,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,img_url
1,Wii Sports,wii-sports,82.86,,0.0,0.0,0.0,0.0,2006.0,/games/boxart/full_2258645AmericaFrontccc.jpg
2,Super Mario Bros.,super-mario-bros,40.24,,0.0,0.0,0.0,0.0,1985.0,/games/boxart/8972270ccc.jpg
3,Mario Kart Wii,mario-kart-wii,37.14,,0.0,0.0,0.0,0.0,2008.0,/games/boxart/full_8932480AmericaFrontccc.jpg
4,PlayerUnknown's Battlegrounds,playerunknowns-battlegrounds,36.6,,7.1,4.2,0.0,1.25,2017.0,/games/boxart/full_8052843AmericaFrontccc.jpg
5,Wii Sports Resort,wii-sports-resort,33.09,,0.0,0.0,0.0,0.0,2009.0,/games/boxart/full_7295041AmericaFrontccc.jpg
6,Pokemon Red / Green / Blue Version,pokmon-red,31.38,,0.0,0.0,0.0,0.0,1998.0,/games/boxart/full_6442337AmericaFrontccc.png
7,New Super Mario Bros.,new-super-mario-bros,30.8,,0.0,0.0,0.0,0.0,2006.0,/games/boxart/full_2916260AmericaFrontccc.jpg
8,Tetris,tetris,58.16,,0.0,0.0,0.0,0.0,1989.0,/games/boxart/3740960ccc.jpg
9,New Super Mario Bros. Wii,new-super-mario-bros-wii,30.22,,0.0,0.0,0.0,0.0,2009.0,/games/boxart/full_1410872AmericaFrontccc.jpg
10,Minecraft,minecraft,95.01,,45.35,47.4,12.5,14.8,2010.0,/games/boxart/full_minecraft_1AmericaFront.png
11,Duck Hunt,duck-hunt,28.31,,0.0,0.0,0.0,0.0,1985.0,/games/boxart/full_6570468AmericaFrontccc.jpg
12,Wii Play,wii-play,28.02,,0.0,0.0,0.0,0.0,2007.0,/games/boxart/full_6165969AmericaFrontccc.jpg
13,Kinect Adventures!,kinect-adventures,24.0,,0.0,0.0,0.0,0.0,2010.0,/games/boxart/full_kinect-adventures_386AmericaFront.jpg
14,Nintendogs,nintendogs,23.96,,0.0,0.0,0.0,0.0,2005.0,/games/boxart/full_4870931AmericaFrontccc.jpg
15,Mario Kart DS,mario-kart-ds,23.6,,0.0,0.0,0.0,0.0,2005.0,/games/boxart/full_9551652AmericaFrontccc.jpg
16,Pokemon Gold / Silver Version,pokmon-gold,23.1,,0.0,01.05,0.0,0.05,2000.0,/games/boxart/full_1344180AmericaFrontccc.png
17,Wii Fit,wii-fit,22.67,,0.0,0.0,0.0,0.0,2008.0,/games/boxart/full_3619557AmericaFrontccc.jpg
18,Wii Fit Plus,wii-fit-plus,21.13,,0.0,0.0,0.0,0.0,2009.0,/games/boxart/full_2716475AmericaFrontccc.jpg
19,Super Mario World,super-mario-world,20.61,,0.0,0.0,0.0,0.0,1991.0,/games/boxart/full_1091265AmericaFrontccc.jpg
20,Grand Theft Auto V,grand-theft-auto-v,63.0,20.32,111.53,111.01,4.94,32.14,2013.0,/games/boxart/full_6510540AmericaFrontccc.jpg
22,Brain Age: Train Your Brain in Minutes a Day,brain-age-train-your-brain-in-minutes-a-day,19.01,,0.0,0.0,0.0,0.0,2006.0,/games/boxart/full_7749365AmericaFrontccc.jpg
23,Garry's Mod,garrys-mod,18.58,,0.0,0.0,0.0,0.0,2004.0,/games/boxart/full_6480469AmericaFrontccc.jpg
24,Super Mario Land,super-mario-land,18.14,,0.0,0.0,0.0,0.0,1989.0,/games/boxart/3345559ccc.jpg
25,Mario Kart 7,mario-kart-7,18.11,,0.0,0.0,0.0,0.0,2011.0,/games/boxart/full_mario-kart-7_649AmericaFront.jpg
26,Pokemon Diamond / Pearl Version,pokmon-diamond,17.67,,0.0,0.0,0.0,0.0,2007.0,/games/boxart/full_2730687AmericaFrontccc.jpg
27,Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,17.3,,6.75,7.85,0.0,0.7,2004.0,/games/boxart/3887656ccc.jpg
28,Super Mario Bros. 3,super-mario-bros-3,17.28,,0.0,0.0,0.0,0.0,1990.0,/games/boxart/4113056ccc.jpg
29,Pokemon X/Y,pokmon-x,16.37,,0.0,0.0,0.0,0.0,2013.0,/games/boxart/full_9470074AmericaFrontccc.png
30,Pokemon Ruby / Sapphire Version,pokmon-ruby,16.22,,0.0,0.0,0.0,0.0,2003.0,/games/boxart/full_4771333AmericaFrontccc.png
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,0.0,16.15,8.41,5.64,0.47,1.78,2002.0,/games/boxart/827563ccc.jpg
32,Pokemon Sun/Moon,pokmon-sun,16.14,,0.0,0.0,0.0,0.0,2016.0,/games/boxart/full_6532288JapanFrontccc.png
34,Pokemon Black / White Version,pokmon-black,15.64,,0.0,0.0,0.0,0.0,2011.0,/games/boxart/full_2983232AmericaFrontccc.jpg
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,0.0,15.09,39.38,24.6,0.86,8.39,2015.0,/games/boxart/full_4990510AmericaFrontccc.jpg
36,Mario Kart 8 Deluxe,mario-kart-8-deluxe,15.02,,0.0,0.0,0.0,0.0,2017.0,/games/boxart/full_895207AmericaFrontccc.png
37,Counter-Strike: Source,counter-strike-source,15.0,,0.0,0.0,0.0,0.0,2004.0,/games/boxart/full_9030886AmericaFrontccc.jpg
38,Sonic the Hedgehog,sonic-the-hedgehog,15.0,,0.0,0.0,0.0,0.0,1991.0,/games/boxart/4697634ccc.jpg
39,Gran Turismo 3: A-Spec,gran-turismo-3-a-spec,14.89,,0.0,0.0,0.0,0.0,2001.0,/games/boxart/full_5113832AmericaFrontccc.jpg
40,Brain Age 2: More Training in Minutes a Day,brain-age-2-more-training-in-minutes-a-day,14.88,,0.0,0.0,0.0,0.0,2007.0,/games/boxart/full_1039696AmericaFrontccc.jpg
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,0.0,14.82,41.57,39.14,2.58,10.98,2011.0,/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg
42,Call of Duty: Black Ops,call-of-duty-black-ops,0.0,14.74,49.21,32.33,2.51,11.99,2010.0,/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg
43,Pokemon Yellow: Special Pikachu Edition,pokemon-yellow-special-pikachu-edition,14.64,,0.0,0.0,0.0,0.0,1999.0,/games/boxart/4260472ccc.jpg
44,Halo 3,halo-3,14.5,,0.0,0.0,0.0,0.0,2007.0,/games/boxart/full_8373567AmericaFrontccc.jpg
