"platform","age_rating","sales"
"Nintendo 3DS","ESRB-E",100966977
"Nintendo 3DS","ESRB-E10",30310781
"Nintendo 3DS","ESRB-T",22187926
"Nintendo 3DS","PEGI-12",5756551
"Nintendo 3DS","PEGI-7",5269871
"Nintendo 3DS","ESRB-M",2487022
"Nintendo 3DS","PEGI-3",1395674
"Nintendo 3DS","PEGI-16",870067
"Nintendo Switch","ESRB-E10",49416306
"Nintendo Switch","ESRB-E",32244183
"Nintendo Switch","PEGI-7",17576589
"Nintendo Switch","ESRB-T",5868663
"Nintendo Switch","PEGI-12",5163601
"Nintendo Switch","ESRB-M",3227956
"Nintendo Switch","PEGI-3",448405
"PlayStation 4","ESRB-M",197484528
"PlayStation 4","ESRB-T",94630431
"PlayStation 4","ESRB-E",65262031
"PlayStation 4","PEGI-3",37135496
"PlayStation 4","ESRB-E10",34666056
"PlayStation 4","PEGI-18",26007424
"PlayStation 4","PEGI-16",20167095
"PlayStation 4","PEGI-7",13536314
"PlayStation 4","PEGI-12",8015663
"PlayStation Vita","ESRB-T",9910918
"PlayStation Vita","ESRB-M",6573759
"PlayStation Vita","ESRB-E10",4025133
"PlayStation Vita","PEGI-7",3081363
"PlayStation Vita","PEGI-3",1761826
"PlayStation Vita","ESRB-E",1524045
"PlayStation Vita","PEGI-12",929918
"PlayStation Vita","PEGI-18",900359
"PlayStation Vita","PEGI-16",763769
"PlayStation Vita","ESRB-RP",216959
"Wii U","ESRB-E",36248964
"Wii U","ESRB-E10",27825270
"Wii U","PEGI-3",8858944
"Wii U","PEGI-7",8223599
"Wii U","ESRB-T",5287377
"Wii U","ESRB-M",1987650
"Wii U","PEGI-16",564819
"Wii U","PEGI-18",410370
"Xbox One","ESRB-M",105383564
"Xbox One","ESRB-T",35441175
"Xbox One","ESRB-E",32504671
"Xbox One","ESRB-E10",19339068
"Xbox One","PEGI-3",14655318
"Xbox One","PEGI-18",9437413
"Xbox One","PEGI-7",8032937
"Xbox One","PEGI-16",5245433
"Xbox One","PEGI-12",2831274
