Name,Basename,Release Date,Age Rating,Single Player,Multi Player,Franchise
Wii Sports,wii-sports,18/11/2006,ESRB-E,1,1,
Super Mario Bros.,super-mario-bros,12/09/1985,ESRB-E,1,1,Mario Bros.
Mario Kart Wii,mario-kart-wii,09/04/2008,ESRB-E,1,1,Mario Bros.
PLAYERUNKNOWN'S BATTLEGROUNDS,playerunknowns-battlegrounds,19/12/2017,ESRB-T,1,1,
Wii Sports Resort,wii-sports-resort,23/07/2009,ESRB-E,1,1,
Pokemon Red / Green / Blue Version,pokmon-red,00/00/1998,,,,
New Super Mario Bros.,new-super-mario-bros,14/05/2006,ESRB-E,1,1,Mario Bros.
Tetris,tetris,30/12/1984,,1,0,
New Super Mario Bros. Wii,new-super-mario-bros-wii,11/11/2009,ESRB-E,1,1,
Minecraft,minecraft,17/11/2011,PEGI-7,1,1,
Duck Hunt,duck-hunt,20/04/1984,ESRB-E,1,1,
Wii Play,wii-play,01/12/2006,ESRB-E,1,1,
Kinect Adventures,kinect-adventures,03/11/2010,ESRB-E,1,1,
Nintendogs,nintendogs,20/04/2005,ESRB-E,1,1,
Mario Kart DS,mario-kart-ds,04/11/2005,ESRB-E,1,1,Mario Bros.
Pokemon Gold / Silver Version,pokmon-gold,00/00/2000,,,,
Wii Fit,wii-fit,30/11/2007,ESRB-E,1,0,
Wii Fit Plus,wii-fit-plus,30/09/2009,ESRB-E,1,1,
Super Mario World,super-mario-world,20/11/1990,ESRB-E,1,1,Mario Bros.
Grand Theft Auto V,grand-theft-auto-v,16/09/2013,ESRB-M,1,1,
Brain Age: Train Your Brain in Minutes a Day!,brain-age-train-your-brain-in-minutes-a-day,15/04/2006,ESRB-E,1,1,
Garry's Mod,garrys-mod,00/00/2004,,,,
Super Mario Land,super-mario-land,20/04/1989,ESRB-E,1,0,Mario Bros.
Mario Kart 7,mario-kart-7,01/12/2011,ESRB-E,1,1,Mario Bros.
Pokemon Diamond / Pearl Version,pokmon-diamond,00/00/2007,,,,
Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,25/10/2004,ESRB-M,1,0,
Super Mario Bros. 3,super-mario-bros-3,22/10/1988,ESRB-E,1,1,Mario Bros.
Pokemon X/Y,pokmon-x,00/00/2013,,,,
Pokemon Ruby / Sapphire Version,pokmon-ruby,00/00/2003,,,,
Grand Theft Auto: Vice City,grand-theft-auto-vice-city,26/10/2002,ESRB-M,1,0,
Pokemon Sun/Moon,pokmon-sun,00/00/2016,,,,
Pokemon Black / White Version,pokmon-black,00/00/2011,,,,
Call of Duty: Black Ops 3,call-of-duty-black-ops-3,00/00/2015,,,,
Mario Kart 8 Deluxe,mario-kart-8-deluxe,27/04/2017,ESRB-E,1,1,
Counter-Strike: Source,counter-strike-source,31/10/2004,ESRB-M,0,1,
Sonic the Hedgehog,sonic-the-hedgehog,22/06/1991,ESRB-E10,1,0,
Gran Turismo 3: A-Spec,gran-turismo-3-a-spec,27/04/2001,ESRB-E,1,1,
Brain Age 2: More Training in Minutes a Day!,brain-age-2-more-training-in-minutes-a-day,19/08/2007,ESRB-E,1,1,
Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,31/10/2011,ESRB-M,1,1,
Call of Duty: Black Ops,call-of-duty-black-ops,08/11/2010,PEGI-16,1,1,
Pokemon Yellow: Special Pikachu Edition,pokemon-yellow-special-pikachu-edition,00/00/1999,,,,
Halo 3,halo-3,24/09/2007,ESRB-M,1,1,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,pokmon-omega-ruby,00/00/2014,,,,
Red Dead Redemption 2,red-dead-redemption-2,25/10/2018,ESRB-M,1,1,
Call of Duty: Black Ops II,call-of-duty-black-ops-ii,11/11/2012,PEGI-18,1,1,
Super Mario Odyssey,super-mario-odyssey,26/10/2017,PEGI-7,1,1,
Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,09/11/2009,ESRB-M,1,1,
Call of Duty: WWII,call-of-duty-wwii,02/11/2017,ESRB-M,1,1,
Super Smash Bros. Brawl,super-smash-bros-brawl,30/01/2008,ESRB-T,1,1,
Grand Theft Auto III,grand-theft-auto-iii,21/10/2001,ESRB-M,1,0,
New Super Mario Bros. 2,new-super-mario-bros-2,27/07/2012,ESRB-E,1,1,Mario Bros.
Portal 2,portal-2,18/04/2011,ESRB-E10,1,1,
Super Mario Galaxy,super-mario-galaxy,31/10/2007,ESRB-E,1,1,Mario Bros.
Pokemon Heart Gold / Soul Silver Version,pokmon-heart-gold,00/00/2010,,,,
Super Mario 3D Land,super-mario-3d-land,02/11/2011,ESRB-E,1,0,Mario Bros.
Animal Crossing: New Leaf,animal-crossing-new-leaf,07/11/2012,ESRB-E,1,1,
Super Smash Bros. Ultimate,super-smash-bros-ultimate,06/12/2018,ESRB-E10,1,1,
Diablo III,diablo-iii,14/05/2012,ESRB-M,1,1,
Pokemon FireRed / LeafGreen Version,pokmon-firered,00/00/2004,,,,
Gran Turismo 5,gran-turismo-5,23/11/2010,ESRB-E,1,1,
Super Mario 64,super-mario-64,22/06/1996,ESRB-E,1,0,Mario Bros.
FIFA 18,fifa-18,28/09/2017,ESRB-E,1,1,
Gran Turismo 4,gran-turismo-4,27/12/2004,ESRB-E,1,1,
Animal Crossing: Wild World,animal-crossing-wild-world,22/11/2005,ESRB-E,1,1,
The Legend of Zelda: Breath of the Wild,the-legend-of-zelda-breath-of-the-wild,02/03/2017,ESRB-E10,1,0,
Super Mario Land 2: 6 Golden Coins,super-mario-land-2-6-golden-coins,20/10/1992,ESRB-E,1,0,Mario Bros.
Grand Theft Auto IV,grand-theft-auto-iv,28/04/2008,ESRB-M,1,1,
Super Mario 64 DS,super-mario-64-ds,19/11/2004,ESRB-E,1,1,
Terraria,terraria,15/05/2011,ESRB-T,1,1,
FIFA 17,fifa-17,26/09/2016,PEGI-3,1,1,
Gran Turismo,gran-turismo,22/12/1997,ESRB-E,1,1,
